schooljaar,grade_year_secondary,outflow_position,gender,belgian_nonbelgian,eu_noneu,age_category,household_language_dutch,mother_education_level,school_progress,grade_secondary_education,school_year_level,field_of_study,residence_merged_municipality_name,residence_province_name,residence_central_city,target
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Higher education,No academic delay,3,2,General secondary education,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Mechanics-electricity,Sint-Pieters-Woluwe,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Tielt,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Tielt,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,General secondary education,Aalst,East Flanders,Yes,enroll
2022-2023,,dbso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,,,/, (modernisering SO),Maasmechelen,Limburg,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Auto,Aarschot,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Geel,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,2,Wood,Aalst,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Construction,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Personal care,Aarschot,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 1st Year,aso,Male,Belgian,EU,18-19,Ned with at least one,Lower secondary education,2 years academic delay,3,1,General secondary education,Zaventem,Flemish Brabant,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Construction,Aalst,East Flanders,Yes,enroll
2022-2023,,dbso,Female,Non-Belgian,EU,18-19,Ned with at least one,Lower secondary education,,,/, (modernisering SO),Lendelede,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Tourism,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,General secondary education,Kalmthout,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Social security,Heusden-Zolder,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Poperinge,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Poperinge,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Londerzeel,Flemish Brabant,No,enroll
2022-2023,2nd Grade - 2nd Year,kso,Male,Non-Belgian,Non-EU,17-18,Ned with no one,Upper secondary education,2 years academic delay,2,2, (modernisering SO),Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,<17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,Trade,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Primary education,1 year academic delay,3,2,Personal care,Tienen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Landen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 1st Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,General secondary education,Boom,Antwerpen,No,dropout
2022-2023,,Syntra,Female,Belgian,EU,18-19,,,,,/, (modernisering SO),Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Cooling and heating,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Agriculture and horticulture,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Brasschaat,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Auto,Gent,East Flanders,Yes,enroll
2022-2023,2nd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Primary education,More than 2 years of academic delay,2,1, (modernisering SO),Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Wetteren,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,3, (modernisering SO),Aarschot,Flemish Brabant,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Agriculture and horticulture,Eeklo,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Mechanics-electricity,Nijlen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Tienen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Torhout,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,2,Personal care,Lanaken,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Lanaken,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Male,Belgian,EU,19-20,Ned with no one,Higher education,2 years academic delay,3,2,Visual arts,Antwerpen,Antwerpen,Yes,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,No primary education,2 years academic delay,2,2, (modernisering SO),Roeselare,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Sport,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Cooling and heating,Aarschot,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Sport,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,20-21,Ned with no one,No primary education,More than 2 years of academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,Tourism,Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,Non-EU,19-20,Ned with at least one,Higher education,2 years academic delay,3,2,Personal care,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,Non-EU,20-21,Ned with at least one,No primary education,More than 2 years of academic delay,3,2,Personal care,Oostende,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,General secondary education,Zaventem,Flemish Brabant,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Chemistry,Turnhout,Antwerpen,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,17-18,,,,,3, (modernisering SO),Oostende,West Flanders,Yes,dropout
2022-2023,,buso OV3,Male,Non-Belgian,Non-EU,19-20,,,,,5, (modernisering SO),Aalst,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Lower secondary education,2 years academic delay,3,2,Sport,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Geel,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Chemistry,Tienen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Belgian,EU,17-18,Ned with at least one,Lower secondary education,1 year academic delay,3,1,Body care,Genk,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Tessenderlo-Ham,Limburg,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Non-Belgian,EU,17-18,Ned with no one,No primary education,1 year academic delay,3,1,Personal care,Gent,East Flanders,Yes,dropout
2022-2023,2nd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,18-19,Ned with no one,No primary education,More than 2 years of academic delay,2,2, (modernisering SO),Gent,East Flanders,Yes,dropout
2022-2023,2nd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with at least one,Primary education,2 years academic delay,2,2, (modernisering SO),Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Body care,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,1,Fashion,Oostende,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Trade,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Mechanics-electricity,Beringen,Limburg,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,2 years academic delay,3,1,Personal care,Schilde,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Power supply,Oostende,West Flanders,Yes,enroll
2022-2023,2nd Grade - 2nd Year,bso,Female,Non-Belgian,Non-EU,17-18,Ned with no one,Higher education,2 years academic delay,2,2, (modernisering SO),Sint-Niklaas,East Flanders,Yes,dropout
2022-2023,3rd Grade - 1st Year,aso,Male,Non-Belgian,Non-EU,18-19,,,2 years academic delay,3,1,General secondary education,Mechelen,Antwerpen,Yes,dropout
2022-2023,,dbso,Female,Non-Belgian,EU,20-21,Ned with no one,Upper secondary education,,,/, (modernisering SO),Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Kapellen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with no one,Higher education,No academic delay,3,2,Personal care,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,,1 year academic delay,3,2,Personal care,Avelgem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Chemistry,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Non-Belgian,Non-EU,19-20,Ned with no one,Lower secondary education,More than 2 years of academic delay,3,1,Personal care,Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Body care,Turnhout,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,kso,Female,Belgian,EU,<17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,1,Visual arts,Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Ned with no one,Upper secondary education,1 year academic delay,3,1,Trade,Sint-Katelijne-Waver,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,Trade,Lochristi,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Deinze,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Stabroek,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Performing arts,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,Auto,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Trade,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Trade,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,19-20,Ned with no one,Higher education,2 years academic delay,3,2,Personal care,Dilbeek,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Oudenaarde,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Oudenaarde,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Trade,Menen,West Flanders,No,enroll
2022-2023,2nd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with at least one,Primary education,2 years academic delay,2,2, (modernisering SO),Torhout,West Flanders,No,dropout
2022-2023,3rd Grade - 1st Year,kso,Male,Non-Belgian,Non-EU,19-20,,,More than 2 years of academic delay,3,1,Visual arts,Aarschot,Flemish Brabant,No,dropout
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Visual arts,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Higher education,No academic delay,3,2,General secondary education,Etterbeek,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Izegem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Trade,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,Graphic communication and media,Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Sint-Katelijne-Waver,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Sint-Katelijne-Waver,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Sint-Katelijne-Waver,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Sint-Katelijne-Waver,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,Non-EU,20-21,Ned with no one,Higher education,More than 2 years of academic delay,3,2,Trade,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Personal care,Westerlo,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Geraardsbergen,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Leuven,Flemish Brabant,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Hasselt,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,<17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Avelgem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Trade,Beveren-Kruibeke-Zwijndrecht,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Decorative techniques,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Agriculture and horticulture,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,2nd Grade - 1st Year,bso,Male,Belgian,EU,18-19,Ned with at least one,Primary education,More than 2 years of academic delay,2,1, (modernisering SO),Antwerpen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 1st Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Upper secondary education,More than 2 years of academic delay,3,1,Auto,Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Personal care,Ronse,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Sport,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Personal care,Vorselaar,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Trade,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Trade,Lier,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Houthalen-Helchteren,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Houthalen-Helchteren,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Houthalen-Helchteren,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,General secondary education,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Avelgem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Personal care,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,Auto,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Power supply,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,1 year academic delay,3,1,General secondary education,Lanaken,Limburg,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Personal care,Menen,West Flanders,No,enroll
2022-2023,3rd Grade - 1st Year,bso,Female,Non-Belgian,EU,17-18,Ned with at least one,Upper secondary education,1 year academic delay,3,1,Body care,Lommel,Limburg,No,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,19-20,Ned with no one,Lower secondary education,2 years academic delay,3,2,Tourism,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Asse,Flemish Brabant,No,enroll
